Sales, units;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
NWYTV0482G;243;460;156;0;245;169
KSSWI3940M;116;132;135;129;156;207
EDCEW7044F;281;173;78;119;200;109
MUOIM0549A;8;0;0;0;0;0
RWGSP7881A;18;21;6;20;38;75
EGHJX4411Q;2;0;0;1;0;0
UVNGZ6076E;1;2;0;0;0;0
YASEG5100R;79;79;78;45;1;116
UUMGL0247O;2;3;0;0;0;0
KPUWF5783U;486;403;185;452;393;402
CYORY8650R;266;315;45;204;245;75
PPVBU1203Q;19;31;18;34;27;31
TDAOU6397Z;281;323;256;39;0;3
HTQKB6697Z;3;0;0;0;0;0
WABDG2809X;1490;838;1153;588;812;1223
MRUEM9028J;165;273;565;639;573;1341
FNOKE8380A;15;43;24;24;28;14
AONBK9840Q;1;2;0;0;0;0
AIAZI4473Q;376;408;270;1508;56;239
XWHKF9965T;492;446;440;1452;326;398
TKRZP9431G;4;19;2;0;14;0
UIRSD5858L;2;0;0;0;0;0
QQQYQ3086C;7;6;17;40;34;29
MALXA1409D;18;75;146;113;82;17
HSPZO6268Y;70;56;0;13;169;183
NNJLS6904A;277;252;214;765;413;833
PXSVI8581K;299;338;178;424;503;826
GCSXA0189C;-10;10;-1;0;0;0
UGMIQ8340K;330;237;134;130;34;0
WMCBY7316E;136;155;169;138;122;188
HNBYV9602Z;-1;2;-9;6;1;0
REDCZ8656F;62;86;77;97;259;121
XTKEP6280F;28;175;81;54;144;63
CEPRU9192C;342;216;114;144;228;54
JBDXR1266U;93;143;141;153;300;317
XZOBE6361B;99;102;95;205;276;292
OBCVI7265A;152;194;42;13;48;104
PXUKD4937E;33;38;26;27;14;71
UXIML0754U;11;1;0;0;0;0
JAMIQ3616W;116;99;105;102;199;373
DRDGH6817X;8;4;0;0;0;14
ZYURY8511D;6;10;3;2;0;0
FJIXG2224O;2;4;0;0;0;0
NVCGG5770E;24;56;5;9;0;0
ACQIR4088A;8;5;10;2;11;60
DYPTG4479D;12;6;0;0;0;0
UAEEM9752V;25;10;30;19;23;27
NJBCV8164J;99;9;560;165;36;0
JQVMF4844J;21;0;20;16;24;0
HGWRT0854F;367;321;341;312;383;604
RXUAW5727R;29;24;11;33;21;33
RLGAR2741X;2;0;0;0;0;0
CYALD7829Z;4;1;6;6;5;0
TAGMR1005Y;22;80;14;1;0;0
SGFJV1160F;1;0;0;0;0;0
HJQJR3247E;214;16;6;0;0;0
AOHJE6310X;102;144;66;0;0;0
TUTDK7805V;13;44;0;0;0;0
NRWKZ1081A;18;7;31;9;0;0
FLSBD7610B;174;134;0;0;0;0
DTVCD8584C;192;594;131;28;1;0
PJYGH0748R;348;150;42;126;240;6
YNBSW1740L;2;0;0;0;0;0
TNFGL6196Y;130;167;190;205;262;361
PGLSL3742U;2;0;0;0;0;129
RWBBH6311K;3;0;0;10;12;115
UPECP3215M;4;0;0;0;0;0
KTHMS0697X;136;50;62;79;134;161
LPAXM8491O;95;210;77;87;96;92
OQKIC5873M;265;110;133;174;483;444
FNWHK6071J;51;37;12;75;0;0
KOPPW8098S;49;56;80;0;0;0
KJCJJ1544Z;4;0;0;0;0;0
JHCKH6189A;8;0;0;8;5;0
DYESM6286I;1242;589;765;1156;1176;2426
JBUEH3584W;16;0;0;0;0;0
RXRVC5351Q;1;0;15;82;20;0
GMZVR5022F;47;42;23;18;29;44
WOFYM1205P;85;130;161;0;0;0
GYWFG5619V;6;0;8;41;-12;2
IMGPQ9671B;12;18;10;11;3;0
ADHDM4155G;513;307;349;337;694;918
TOZWG5908V;1464;338;368;572;141;0
MFHWN6079P;1;0;0;0;0;1
YJKSY3605T;5;1;0;0;0;0
AVAIY0508R;4;14;12;0;30;30
ZEQKZ0260U;42;60;36;2;92;179
BESYS0466Q;1;0;0;0;0;0
WSXMH8974A;24;20;4;0;0;0
AWYTG5887A;47;60;58;38;18;2
PUOGD6008E;1;26;18;15;81;8
VFDDJ6215T;258;207;61;68;98;210
JRREN8634W;21;4;5;27;8;43
GQSFZ2277T;229;194;73;159;108;413
GUJAD7758G;346;269;129;386;210;362
TAFRJ5634B;114;45;53;0;48;76
RZLTM8117F;48;23;61;60;98;1
XGPOK3258T;1;0;0;3;1;4
KEKLI8217I;331;292;384;542;413;529
ZKJQJ7664B;97;3;24;79;74;67
FJVML2744V;3;0;0;0;0;0
EMLZD8615D;10;7;6;39;14;27
IQZDY4978B;36;48;0;113;206;31
ZQSUK2624A;148;215;195;328;312;411
QMTPU8156F;126;0;0;0;0;0
NYRMV0580R;594;479;330;256;386;508
KSDXG3996E;2;0;14;5;0;4
FVASR5283J;70;0;0;0;0;0
MJZIZ7509I;56;0;0;0;0;0
GCVUY4877W;2;18;78;86;82;32
XRCTU7489L;4;2;0;0;2;0
LSQGV7991K;3;1;7;3;0;0
GCCDE8091I;41;19;16;25;21;7
JQXXD7080Z;22;72;38;49;93;106
ELMAI7546S;64;70;57;35;52;63
SARXE2003U;12;1;0;0;0;0
QNIGA6246W;255;63;49;108;80;301
FTLAH5997A;14;2;7;1;0;0
BQWAX4418Z;34;4;0;-2;2;0
GVVGH9558A;18;4;25;56;53;39
HVBCM3741B;5;0;0;0;0;0
SQWCG1718H;131;71;135;122;62;138
FFPUX1034F;3;22;24;4;0;0
CHKKD8085E;38;51;94;70;37;12
BXMMN4771W;77;106;80;63;76;85
EIXUT7302G;1;0;0;0;0;0
GKCTY9312K;1;0;0;1;0;0
ZEALF0409C;3;0;0;0;0;16
SKMJH8241E;113;135;47;106;64;37
SUBOT1872Y;2;4;0;0;0;0
GOHGS2749P;185;173;224;295;314;351
WVIZJ6413R;19;18;0;0;0;0
WJMYK5294A;30;41;61;51;46;56
DRPSY4481F;939;905;870;729;772;870
HOVZG9924G;396;399;328;375;509;3
ZDTZC9904P;168;211;199;0;385;191
NINOW8503I;24;57;16;3;7;0
TLHGW0860I;4;0;0;0;0;0
XKKHZ9941V;32;0;0;-5;5;0
MFVVH4160S;9;0;0;0;0;0
PKWIN9593K;38;52;33;27;23;11
EXAVX6092K;16;15;8;16;33;18
TODIB7377E;9;42;25;26;10;0
WVHGL7695Z;83;142;106;278;138;378
OIFUK7544L;12;36;23;46;37;46
PEQFV5436U;10;8;16;8;14;8
BVJQZ1144P;36;12;4;34;20;2
MMCLH9459B;1;0;0;0;0;0
IPLWN1561C;56;0;0;0;0;0
VPUXP2251H;219;59;100;451;912;643
XQTIA3102B;90;215;80;106;723;223
PCJYJ7760A;314;204;94;262;857;798
WBMDO4194K;102;80;70;148;193;149
OSAHU8746N;155;87;104;72;71;898
HMUGO6033K;180;0;0;0;360;0
YMKLA0651I;120;0;0;0;300;0
SVROW6600B;52;16;38;69;174;132
AFFRJ6298S;12;0;0;0;0;0
KQZFN3511L;2;8;14;0;0;0
AGXAT0760U;13;21;19;0;0;0
JODMF4405C;27;47;46;42;62;55
PTHDN0038O;45;36;52;17;33;74
PPKGE4926D;4;20;2;0;0;0
PLJLH6070K;5;14;15;7;0;0
WFKHK0266X;972;0;0;120;84;-59
SBBRR4756I;50;47;58;72;13;-6
ODAUY6958C;26;17;0;3;0;0
OUKCL6234N;105;62;18;35;44;-29
RRHKU0004S;5;0;0;0;0;0
TCNBB3978R;301;363;182;0;0;-9
IRSVM5802F;191;176;0;0;0;0
DYQWX3660O;141;395;229;0;0;-48
WZHSM4237K;4;26;20;15;28;36
CZEXV0807N;85;91;97;220;83;82
YQLLH1480H;52;81;120;54;20;0
ZAFNU1851H;200;204;106;108;23;0
MFOXG5954N;3;0;0;2;3;0
DFGBZ4263K;4;0;0;0;0;0
QIAPB4422D;18;0;0;0;0;0
MVECY5031I;218;188;348;29;0;0
PMGLW9027D;15;5;0;0;0;0
RYNUR3746Q;199;263;86;1095;16;30
LFZWV4299O;1;6;0;0;0;0
OTMDJ9990P;57;46;18;91;26;0
DAKSG2183H;16;71;55;96;61;105
SSPHW1679P;38;63;153;178;0;0
HRGJP0818E;60;128;109;7;0;0
DDJNG1257X;50;83;96;171;0;0
YEZWN6767D;42;79;215;240;151;169
PTNYH8489Y;130;109;116;163;141;163
SROHV3703B;2;87;32;21;60;35
HVMNF1380C;67;27;79;159;606;254
QBDIJ3750V;77;95;97;80;1;0
YSQOW0506I;8;66;19;0;0;0
XQIWK6874G;544;515;550;10;455;439
SIGWN8266K;4;4;0;-2;2;0
NDBVG3871D;165;112;46;59;64;68
DLMNK7105M;427;644;249;233;1569;2605
WQDRC8400R;283;5;0;0;0;0
MWTHA7292L;71;176;60;81;122;103
MDHXY3151B;4;3;0;0;1;0
NKLNK2459D;1;14;15;0;0;10
SGTNA2209Y;24;16;0;0;0;0
NGEZK7998O;12;14;7;23;12;7
FKFDR0712W;128;95;77;53;97;39
YSGPM4265Q;26;8;0;-1;0;0
VOKJG6462P;6;0;0;0;20;42
VJVXX9887V;1;13;2;0;43;36
MCEUI4487X;50;97;37;39;71;17
UIJVE4817K;6;31;0;0;0;0
FEBDM1083B;7;8;14;10;0;0
GNXJO5814O;4;3;0;0;0;0
JQVBM5503V;19;59;70;65;44;36
ELPTU6952V;94;47;80;47;0;79
KOHQT0296P;384;210;120;162;258;54
HITSC0875H;-7;13;0;0;0;0
EUIVQ4138E;236;172;213;163;213;274
RWHKL1629Q;2;6;0;0;5;0
QORVT5115S;51;85;48;34;115;159
AYNFQ7714G;212;65;201;72;60;0
HRFTQ2551F;14;21;0;0;0;0
OCPPS7043Q;180;69;198;115;77;272
MZTRO4489H;132;192;605;206;74;0
HMNNX9366N;157;199;177;186;146;274
YFGRC0505Q;7;0;0;0;0;0
FLQKV7538O;1;0;0;0;0;0
DAUSB7758I;40;0;0;0;0;0
TKXCY8461A;3;0;1;0;0;0
GJIUU6397J;7;3;0;0;0;0
OXEVT9322W;3;3;0;0;0;0
DKJPJ4888M;5;6;2;3;0;0
CBVVW3399O;3;0;13;5;5;1
KKTNX4425L;110;196;91;118;0;0
GIXBO2684X;132;116;82;82;26;0
HXVJA4205Q;18;22;22;53;78;66
OXXMS6537J;15;194;46;51;59;81
VOWEU9978L;20;22;48;50;68;0
DGRFB2523N;37;91;81;66;127;178
RTACA6397V;33;36;45;81;63;60
SHTJX3143P;43;34;34;89;109;98
UJVUC8752G;187;6;0;4;0;0
RCNOM4081C;2;1;2;0;0;0
MZHQK2061F;87;71;68;0;0;0
LZAIA0071C;4;0;2;0;0;0
FMLAK3720L;10;10;17;15;25;39
BQLZB5851J;34;68;27;68;42;65
TTAAU2208G;0;8;13;3;0;0
VYPJW5340P;0;2;0;0;0;2
YBRLG8156Y;0;7;40;45;82;41
CICCR4269E;0;430;978;1121;892;1373
GAKUZ5558V;0;3;0;0;0;0
CYUDV2918Z;0;20;0;0;12;0
ERTHN7957W;0;61;21;5;68;90
TILHC8987S;0;1;0;5;3;32
NOVPX1690G;0;44;36;53;37;45
JLSQF8594B;0;40;21;25;27;24
AIFBD5912W;0;241;0;0;1;9
YEKRP6173J;0;281;84;143;249;366
UMYNI4884W;0;555;192;276;377;361
XJOWF9099M;0;18;3;2;26;11
DWJDG0329L;0;59;-2;0;166;14
HFCVQ7482O;0;58;2;-3;75;66
YZGOW9865M;0;1;0;0;47;30
IGMSJ5764Y;0;1;0;0;0;30
HSUXH3248R;0;1;0;0;0;24
TEPZH7782S;0;1;0;0;0;60
SLIID4646V;0;1;0;0;0;53
OAYHO4529H;0;2;0;0;0;24
TZHHH3234J;0;1;0;0;0;72
YIKIH8884U;0;1;0;0;0;24
MGMYF4081N;0;1;0;0;0;24
YVLDJ9106B;0;1;0;0;0;24
XADOQ9184O;0;48;197;245;296;522
UJKFM1171I;0;52;223;147;192;297
ULVSZ4468K;0;51;43;95;162;398
WSNPE6141Z;0;7;21;102;99;62
HZBWS7932T;0;2;0;1;0;0
LKGGJ9555A;0;3;3;7;12;14
IKNBM7216Z;0;1;1;0;0;0
KKAJC0186V;0;2;4;4;0;0
XGXDH1702R;0;11;89;188;384;658
FFHGA9401J;0;19;11;26;87;41
UYKXY3254J;0;205;94;0;171;212
OVKUK0379H;0;298;0;0;156;215
FFFQW7257P;0;1;0;2;0;240
JEVCC0854K;0;8;2;1;19;8
EIWGO2603H;0;1;0;0;20;13
AYZWS3617W;0;3;0;6;12;14
JLJRU0647Y;0;1;0;0;0;0
IBBRV1659P;0;3;2;4;6;4
ZAWVA4147E;0;4;1;0;0;4
DILKW2658Z;0;1;0;0;4;0
HVXKX9956F;0;1;0;1;2;22
OJRBA0646J;0;3;0;0;0;0
AFYYR6011S;0;5;0;2;0;0
KWGIZ9395K;0;2;1;0;1;0
PYLRT3465V;0;28;0;0;0;0
HJWGF8811S;0;63;17;0;0;0
CMYBX0412W;0;1;3;0;0;0
GAXUP6391I;0;24;2;1;0;0
WDHRN7350T;0;60;12;43;20;8
OLKTR3866B;0;5;0;8;1;5
VHTKW9117S;0;731;167;0;0;0
QLQSQ8825S;0;210;59;12;4;0
VETEQ8172Z;0;58;0;0;0;0
CNDLJ6056C;0;6;0;0;5;0
JLFTE8258P;0;502;167;110;538;1133
STABL9484I;0;1;9;2;0;0
SVQGS4362M;0;-2;0;0;0;0
TODCN7788P;0;16;35;61;26;51
VYYZK6032S;0;19;27;29;29;109
ZHDJE8964Y;0;278;394;79;53;-82
TYRZC8291U;0;1;317;185;587;612
YTITF1894Z;0;87;36;62;65;346
PUWME7772S;0;468;259;155;264;524
MIRZU2482P;0;9;1;3;5;12
VRCQP6271G;0;1;11;2;4;7
MKUHL2308V;0;126;37;-4;129;133
YCLJG8258B;0;80;14;0;69;66
NEAUH0599M;0;64;30;12;34;26
CDOWU0661Z;0;84;0;1;48;43
BMADN3771T;0;93;25;0;114;62
XMBEU2334Q;0;100;19;0;72;91
WKKUW1078Z;0;1;0;0;0;0
IZDHV5209B;0;0;5;0;0;0
PYDQZ2662B;0;0;12;12;0;0
SLWFZ7027E;0;0;1;0;0;0
BUTJD9349O;0;0;9;8;195;25
TJKPI6329D;0;0;1;0;0;0
FLRTU7372Y;0;0;6;0;2;69
AJGBB0913P;0;0;1;3;0;5
UHHMX9753H;0;0;1;4;0;275
XFPCJ8924M;0;0;1;3;0;84
PYEYQ1658C;0;0;-3;0;0;2
PQKBK8427T;0;0;1;0;0;24
KGQWW7057L;0;0;1;0;0;24
BBDAL5574L;0;0;1;0;0;24
WAPIL1106C;0;0;1;0;0;24
KDSCV0064J;0;0;1;0;0;52
CDTST7352L;0;0;1;0;0;24
HZWEW2956P;0;0;1;0;0;24
FGVZT1231I;0;0;1;0;0;24
XFYOU4969X;0;0;1;0;0;24
ZKPZF1121L;0;0;3;0;0;0
DKQAL0615D;0;0;6;27;2;5
DVRGM0806K;0;0;7;0;0;0
FERRG5341Y;0;0;6;3;0;0
YKKZG6033S;0;0;1;0;0;0
CLBAY0464C;0;0;3;3;6;8
SFMGF6691M;0;0;10;8;0;0
JUPRL6719L;0;0;1;0;0;0
MWGDB3616F;0;0;12;0;0;0
CIIGN8764S;0;0;6;0;4;7
KYXDM5652F;0;0;3;2;0;0
HFTGG5194W;0;0;12;0;0;2
MOEHT7856Z;0;0;12;0;0;2
PLRDB2449T;0;0;12;1;0;8
RYMSP0074F;0;0;31;103;1;185
JUCTM1332E;0;0;44;169;56;70
QGJPL0314L;0;0;1;1;0;0
DWOZU9842M;0;0;7;0;0;3
HCKCX8652M;0;0;4;3;0;21
EFGDO5024A;0;0;7;0;0;23
YSDZP7092K;0;0;4;2;0;9
YCOSK5095C;0;0;12;6;0;0
DOCEE6374S;0;0;6;0;0;24
VTIEE3836U;0;0;12;24;0;36
PCJLQ4271R;0;0;6;0;0;0
MWEAD8396A;0;0;12;24;0;0
CXEMF7257B;0;0;2;0;0;0
BHQKI4862Z;0;0;1;0;1;10
RPHLN1269U;0;0;2;3;0;0
EAABA3978I;0;0;12;1;6;4
JUSNP2381Z;0;0;12;5;3;2
OOQDQ9116D;0;0;12;0;0;0
WDOZV4044F;0;0;12;1;4;0
OYZMF5042N;0;0;12;2;1;11
OMWVI9458C;0;0;6;6;0;0
AOSAM6157B;0;0;73;61;6;-80
SOBXY9082J;0;0;4;0;0;0
MKNBC5353P;0;0;12;0;3;3
TEFGE1430W;0;0;12;2;0;2
JWAFO0501Z;0;0;12;0;0;3
DJZPN9915B;0;0;1;0;0;0
JWVHL1949B;0;0;0;2;0;0
RWZXN6396E;0;0;0;-2;0;0
CVVYE2780D;0;0;0;1;4;90
WOTZZ6947V;0;0;0;3;1;0
PPBVE3473V;0;0;0;28;69;43
WLVZE1435E;0;0;0;5;6;13
RZWYT6292Y;0;0;0;2;0;0
HQWWR4776Q;0;0;0;2;0;0
LHMOM2251J;0;0;0;532;579;299
WURET2937X;0;0;0;3;1;163
HEVTO8575Z;0;0;0;1;0;1
XXQZQ5928O;0;0;0;2;2;120
VTACZ6061C;0;0;0;2;0;2
IWUHR0013I;0;0;0;24;114;375
GJTIQ5323N;0;0;0;1;0;0
MWWXS8137F;0;0;0;1;1;2
RCLKZ3612K;0;0;0;36;4;75
WVYCC5051D;0;0;0;16;11;32
EHIRX9822K;0;0;0;5;1;0
PVHET7070B;0;0;0;1;0;0
YHHTA3346D;0;0;0;29;24;65
ZJTHW8775D;0;0;0;440;334;426
ZFWSZ6367N;0;0;0;7;0;0
LOQTT4701S;0;0;0;6;21;33
BEGSE9172Z;0;0;0;9;66;71
WJRFV9889Q;0;0;0;42;29;24
CVMZA6782H;0;0;0;1;0;0
MTWFN2367Q;0;0;0;104;70;29
QANYD1282W;0;0;0;2;0;0
DTXJH1956E;0;0;0;6;0;97
YQYYI7114I;0;0;0;2;0;2
PAUFJ8585X;0;0;0;2;0;0
TQCIM3985E;0;0;0;2;0;0
KCWIT2408Q;0;0;0;2;0;2
PLOJM5984S;0;0;0;231;387;97
AMFLC0485P;0;0;0;199;329;189
CDAPX7026I;0;0;0;543;886;342
WFIVZ6938B;0;0;0;2;0;0
XSLES3477S;0;0;0;2;0;0
KDAZZ4327C;0;0;0;73;88;78
CVZLK4062R;0;0;0;48;46;43
XIIQW3419B;0;0;0;1;2;0
NWSEZ6864P;0;0;0;263;38;0
YWCGV1297S;0;0;0;3;28;2
PWJIO2761X;0;0;0;1;0;0
TROQU3705W;0;0;0;1;0;0
KXQMY0246D;0;0;0;2;0;0
ZQSFK5513B;0;0;0;1;0;0
PKEJV3747V;0;0;0;1;1;98
RCRVG5012B;0;0;0;0;2;0
MDYGL8371A;0;0;0;0;12;0
RHINZ3246Q;0;0;0;0;13;7
XPLEA6925S;0;0;0;0;313;527
DQJBW3032Z;0;0;0;0;272;388
OQBNY4614X;0;0;0;0;1;3
OJSMH2846D;0;0;0;0;56;40
XCIGZ2416Z;0;0;0;0;56;28
FASTF3108W;0;0;0;0;32;30
TMDXW4427Q;0;0;0;0;56;31
SCWUM1823I;0;0;0;0;19;79
VFPPG2556M;0;0;0;0;3;0
DRWGU8015K;0;0;0;0;2;0
SQPFL6067Q;0;0;0;0;279;1013
EYPSX8014W;0;0;0;0;2;439
LVPFV4447K;0;0;0;0;2;0
RWFYN9786G;0;0;0;0;10;13
RVGFJ5682V;0;0;0;0;724;1609
CMVPQ1787X;0;0;0;0;55;119
VKKNO8069D;0;0;0;0;27;66
PFRES4617R;0;0;0;0;1;3
EJQYA2823R;0;0;0;0;1;5
IVABF7766D;0;0;0;0;24;26
TIQCX6322S;0;0;0;0;2;56
ZMUNM1690S;0;0;0;0;788;394
XIDJI0493R;0;0;0;0;2;0
BKEFC9374R;0;0;0;0;230;260
XNVAP0632L;0;0;0;0;30;0
SALSP7074M;0;0;0;0;10;0
GHHAA5461L;0;0;0;0;48;52
ZNTBK2724D;0;0;0;0;30;5
QWJGI5560U;0;0;0;0;75;31
TBHXO8930F;0;0;0;0;27;275
QHGWH4383X;0;0;0;0;95;50
HEISP2576C;0;0;0;0;1;0
NQECK6435Z;0;0;0;0;0;190
KITOO3764M;0;0;0;0;0;826
RPXPF9500O;0;0;0;0;0;523
TZZJC6508P;0;0;0;0;0;1004
EMOQE8443G;0;0;0;0;0;73
BNBLD0451S;0;0;0;0;0;229
YBZEW0541P;0;0;0;0;0;12
TSYRQ2194K;0;0;0;0;0;166
JLNHA9018N;0;0;0;0;0;28
PLQSJ8688T;0;0;0;0;0;53
CQDXM3604F;0;0;0;0;0;1
KXBKG1578I;0;0;0;0;0;161
KXOWI2878S;0;0;0;0;0;319
MMJTH5383N;0;0;0;0;0;1092
MNBNU6790P;0;0;0;0;0;57
MXBSJ6279B;0;0;0;0;0;39
AZJUI5294G;0;0;0;0;0;29
PDNZF4901N;0;0;0;0;0;75
ZXOQK7481N;0;0;0;0;0;24
LJTJE9751L;0;0;0;0;0;160
GFVGR6551R;0;0;0;0;0;4
MTZGR4156F;0;0;0;0;0;131
WNEUT1244W;0;0;0;0;0;60
QJERM2061X;0;0;0;0;0;24
LPMNH7672A;0;0;0;0;0;24
JQNBB3436S;0;0;0;0;0;24
JBDYM5518T;0;0;0;0;0;24
EREGB8536X;0;0;0;0;0;24
IADKF3627Y;0;0;0;0;0;24
ZCQLJ9260Z;0;0;0;0;0;23
OMFGQ9755K;0;0;0;0;0;24
SOBCV5230I;0;0;0;0;0;24
DVGYF7441C;0;0;0;0;0;52
VYDVL5274I;0;0;0;0;0;24
JWDHT4383K;0;0;0;0;0;24
IMKZD4764I;0;0;0;0;0;24
RRMDB7949Y;0;0;0;0;0;35
JQMMA3369I;0;0;0;0;0;24
JKDSP4007D;0;0;0;0;0;24
WNHAL7065A;0;0;0;0;0;24
JZRYU2223H;0;0;0;0;0;24
DPONM4411U;0;0;0;0;0;24
IJEEW9786D;0;0;0;0;0;24
DFHAN7222X;0;0;0;0;0;24
UUUHQ8498K;0;0;0;0;0;116
ANNZP9360C;0;0;0;0;0;24
WQTHY9728T;0;0;0;0;0;31
JUFVE7145Q;0;0;0;0;0;161
CVABX5807P;0;0;0;0;0;47
FHGXY3669E;0;0;0;0;0;94
MJEYO4778W;0;0;0;0;0;372
MQOMA0838O;0;0;0;0;0;507
YYQKZ1814R;0;0;0;0;0;394
YRQCH3249T;0;0;0;0;0;193
YNRQF3694I;0;0;0;0;0;33
AHADW2384J;0;0;0;0;0;127
ILRVF1599K;0;0;0;0;0;128
KQSVG0457C;0;0;0;0;0;11
XZELD2527C;0;0;0;0;0;55
VHGQE3309A;0;0;0;0;0;564
SUUDB7468A;0;0;0;0;0;183
ABHBY7316I;0;0;0;0;0;4
NBVSH5175J;0;0;0;0;0;2
HHTHV2775L;0;0;0;0;0;11
AEXUO1651I;0;0;0;0;0;77
ATNZU9164H;0;0;0;0;0;360
BLUSO4625E;0;0;0;0;0;435
MILKC2927E;0;0;0;0;0;180
KINQA6394J;0;0;0;0;0;42
OTYKE4371M;0;0;0;0;0;6
ODFZE4384H;0;0;0;0;0;59
OKIWX0729D;0;0;0;0;0;-1
AVWGO4294J;0;0;0;0;0;188
HQTPM5338K;0;0;0;0;0;13
SFSQE1955Y;0;0;0;0;0;40
YSROZ8528N;0;0;0;0;0;8
EDFXY8271M;0;0;0;0;0;65
JPKFR1732S;0;0;0;0;0;66
SAREX3102M;0;0;0;0;0;4
XRHYR6712I;0;0;0;0;0;233
HAHAF4310T;0;0;0;0;0;245
YAEAX6014S;0;0;0;0;0;140
WUSEC6420L;0;0;0;0;0;92
EXMEZ2356C;0;0;0;0;0;140
YDLUW3370F;0;0;0;0;0;260
ICEEI2729B;0;0;0;0;0;193
PHKUJ8850F;0;0;0;0;0;356
FKJPS4544X;0;0;0;0;0;508
BKDVS3498W;0;0;0;0;0;613
NHBVD3333I;0;0;0;0;0;28
ZOWUG3225P;0;0;0;0;0;72
HMSMS6645T;0;0;0;0;0;12
GNCLU6535W;0;0;0;0;0;-6
SFPUR1412M;0;0;0;0;0;-11
LKGNM1132Q;0;0;0;0;0;-5
AJOSZ8276L;0;0;0;0;0;-84
AHMDA4264H;0;0;0;0;0;206
UPJRU8760U;0;0;0;0;0;231
EMJDK6241Q;0;0;0;0;0;34
GYMMU3149F;0;0;0;0;0;271
WXPMO3327P;0;0;0;0;0;294
ATWNQ8918J;0;0;0;0;0;243
IUOOJ1866R;0;0;0;0;0;239
GIMTO6164N;0;0;0;0;0;83
YLTFD8278P;0;0;0;0;0;7
TFZAC7457G;0;0;0;0;0;158
IXDXN8949T;0;0;0;0;0;4
BIZCL4056G;0;0;0;0;0;23
CEYHN5491M;0;0;0;0;0;16
EGPHM0961N;0;0;0;0;0;12
TJEUK6794H;0;0;0;0;0;6
LSHPF6148N;0;0;0;0;0;1
WNUPN1924O;0;0;0;0;0;110
NEYIS2843D;0;0;0;0;0;267
PHLRZ2253Y;0;0;0;0;0;152
QFQIP6077N;0;0;0;0;0;154
VWPOM5482U;0;0;0;0;0;284
OMWSR1786U;0;0;0;0;0;717
ANUJJ8813Z;0;0;0;0;0;845
